Source	Type	Target	Weight
King	undirected	Westmorland	10
Falstaff	undirected	Prince	192
Falstaff	undirected	Poins	22
Poins	undirected	Prince	40
King	undirected	Worcester	6
Northumberland	undirected	Worcester	6
King	undirected	Northumberland	2
Hotspur	undirected	Northumberland	14
Blunt	undirected	Hotspur	13
Blunt	undirected	King	3
Hotspur	undirected	King	4
Hotspur	undirected	Worcester	40
1Carrier	undirected	Ostler	2
1Carrier	undirected	2Carrier	8
1Carrier	undirected	Gadshill	5
2Carrier	undirected	Gadshill	4
Chamberlain	undirected	Gadshill	12
Falstaff	undirected	Gadshill	9
Bardolph	undirected	Poins	1
Bardolph	undirected	Falstaff	20
Peto	undirected	Prince	9
Gadshill	undirected	Peto	2
1Traveler	undirected	Falstaff	3
1Traveler	undirected	Gadshill	1
1Traveler	undirected	Peto	1
1Traveler	undirected	Bardolph	1
2Traveler	undirected	Gadshill	1
2Traveler	undirected	Peto	1
2Traveler	undirected	Bardolph	1
2Traveler	undirected	Falstaff	1
Hotspur	undirected	LadyPercy	31
Hotspur	undirected	Servant	6
Francis	undirected	Poins	9
Francis	undirected	Prince	19
Prince	undirected	Vintner	2
Gadshill	undirected	Prince	1
Falstaff	undirected	Peto	1
Falstaff	undirected	Hostess	36
Hostess	undirected	Prince	11
Bardolph	undirected	Prince	13
Bardolph	undirected	Peto	1
Prince	undirected	Sheriff	9
3Carrier	undirected	Sheriff	1
3Carrier	undirected	Prince	1
Hotspur	undirected	Mortimer	6
Glendower	undirected	Hotspur	30
Glendower	undirected	Mortimer	16
Mortimer	undirected	Worcester	2
King	undirected	Prince	22
Bardolph	undirected	Hostess	1
Douglas	undirected	Hotspur	17
1Messenger	undirected	Hotspur	5
1Messenger	undirected	Worcester	3
Hotspur	undirected	Vernon	18
Douglas	undirected	Vernon	6
Douglas	undirected	Worcester	6
Falstaff	undirected	Westmorland	6
Vernon	undirected	Worcester	4
Blunt	undirected	Worcester	1
Archbishop	undirected	SirMichael	8
Falstaff	undirected	King	2
Prince	undirected	Worcester	1
2Messenger	undirected	Hotspur	2
3Messenger	undirected	Hotspur	2
Blunt	undirected	Douglas	4
Falstaff	undirected	Hotspur	3
King	undirected	Lancaster	1
Lancaster	undirected	Prince	6
Prince	undirected	Westmorland	1
Douglas	undirected	Prince	2
Douglas	undirected	King	2
Hotspur	undirected	Prince	7
Falstaff	undirected	Lancaster	1
