season,comment_count,pol_score,subj_score
1,40,0.10997558270946237,0.4604619293338878
2,17,0.06235835861128862,0.4223991809701711
3,10,0.07593850335745497,0.5494904303581722
4,13,0.05863040352555847,0.5672197209155397
5,19,0.07890510421150776,0.4906077443690673
6,19,0.09987189535953607,0.48071519335749524
7,41,0.10911481448413383,0.5084544975060884
8,94,0.09290636649881946,0.48013357878571866
